Country,Clicks,Impressions,CTR,Position
United States,5025.0,569038.0,0.0088,15.21
Canada,245.0,16367.0,0.015,10.54
United Kingdom,211.0,82317.0,0.0026,25.93
India,208.0,19246.0,0.0108,11.09
Pakistan,137.0,4365.0,0.031400000000000004,8.03
Australia,127.0,14196.0,0.0089,12.73
South Africa,89.0,4420.0,0.020099999999999996,8.06
China,65.0,3846.0,0.0169,8.56
Hong Kong,30.0,10457.0,0.0029,6.67
Italy,30.0,6007.0,0.005,16.33
Netherlands,29.0,3249.0,0.0089,9.87
Indonesia,28.0,6219.0,0.0045000000000000005,11.11
Japan,26.0,3337.0,0.0078000000000000005,7.88
Spain,25.0,6869.0,0.0036,15.34
Germany,24.0,10195.0,0.0024,18.53
Singapore,19.0,2817.0,0.0067,10.82
Belgium,19.0,1488.0,0.0128,9.22
Portugal,19.0,1004.0,0.0189,8.63
Philippines,18.0,6651.0,0.0027,8.57
Mexico,18.0,2798.0,0.0064,10.02
United Arab Emirates,18.0,2400.0,0.0075,10.89
Egypt,18.0,1427.0,0.0126,10.32
Malaysia,17.0,4303.0,0.004,10.43
New Zealand,17.0,2121.0,0.008,10.91
Switzerland,17.0,1409.0,0.0121,12.98
Poland,16.0,1931.0,0.0083,10.66
Sweden,16.0,1311.0,0.012199999999999999,9.11
France,13.0,7756.0,0.0017000000000000001,15.93
Greece,13.0,790.0,0.0165,8.2
Saudi Arabia,12.0,1424.0,0.0084,10.99
Denmark,12.0,758.0,0.0158,7.68
Kenya,10.0,751.0,0.013300000000000001,8.11
Vietnam,9.0,4710.0,0.0019,13.01
South Korea,9.0,4107.0,0.0022,11.36
Bangladesh,9.0,2586.0,0.0034999999999999996,10.79
Turkey,9.0,2280.0,0.0039000000000000003,10.76
Thailand,9.0,2269.0,0.004,9.9
Sri Lanka,9.0,783.0,0.0115,9.04
Bulgaria,9.0,581.0,0.0155,8.5
Latvia,9.0,303.0,0.0297,9.03
Jamaica,9.0,242.0,0.037200000000000004,7.44
Taiwan,8.0,1115.0,0.0072,8.97
Israel,8.0,884.0,0.009000000000000001,9.36
Bahamas,8.0,101.0,0.07919999999999999,8.49
Guyana,8.0,59.0,0.1356,8.73
Brazil,7.0,6001.0,0.0012,15.13
Ireland,7.0,2469.0,0.0028000000000000004,14.41
Ghana,7.0,338.0,0.0207,5.75
Puerto Rico,7.0,278.0,0.0252,6.77
Estonia,7.0,268.0,0.026099999999999998,8.93
Trinidad & Tobago,7.0,231.0,0.030299999999999997,7.95
Norway,6.0,728.0,0.008199999999999999,9.6
Austria,6.0,689.0,0.0087,10.74
Czechia,6.0,628.0,0.0096,9.31
Lithuania,6.0,444.0,0.013500000000000002,7.72
Iran,6.0,417.0,0.0144,7.17
Croatia,6.0,396.0,0.0152,7.36
Qatar,6.0,292.0,0.020499999999999997,7.46
Slovenia,6.0,260.0,0.0231,7.02
Argentina,5.0,1493.0,0.0033,13.77
Romania,5.0,935.0,0.0053,9.28
Nigeria,5.0,876.0,0.005699999999999999,8.95
Hungary,5.0,619.0,0.008100000000000001,8.91
Serbia,5.0,507.0,0.009899999999999999,8.72
Lebanon,5.0,338.0,0.0148,6.91
Costa Rica,5.0,269.0,0.018600000000000002,11.02
Ukraine,4.0,2680.0,0.0015,7.9
Russia,4.0,1261.0,0.0032,13.25
Ecuador,4.0,566.0,0.0070999999999999995,13.84
Dominican Republic,4.0,354.0,0.0113,12.92
Tunisia,4.0,327.0,0.012199999999999999,10.88
Uganda,4.0,269.0,0.0149,5.92
Cyprus,4.0,184.0,0.0217,6.45
Honduras,4.0,104.0,0.0385,9.19
Colombia,3.0,1000.0,0.003,12.71
Finland,3.0,726.0,0.0040999999999999995,9.95
Peru,3.0,494.0,0.0060999999999999995,10.62
Georgia,3.0,276.0,0.0109,9.49
Malta,3.0,162.0,0.018500000000000003,7.85
Belize,3.0,61.0,0.0492,7.56
Barbados,3.0,51.0,0.0588,9.06
Isle of Man,3.0,37.0,0.08109999999999999,5.7
Morocco,2.0,899.0,0.0022,11.26
Jordan,2.0,427.0,0.004699999999999999,12.68
Bahrain,2.0,204.0,0.0098,7.47
Panama,2.0,163.0,0.0123,9.36
Moldova,2.0,156.0,0.0128,10.76
Tanzania,2.0,153.0,0.0131,6.0
Zimbabwe,2.0,135.0,0.0148,7.69
El Salvador,2.0,83.0,0.0241,11.07
Jersey,2.0,19.0,0.10529999999999999,6.32
Aruba,2.0,19.0,0.10529999999999999,7.53
St. Vincent & Grenadines,2.0,18.0,0.11109999999999999,5.0
Bermuda,2.0,17.0,0.1176,7.65
Chile,1.0,546.0,0.0018,10.39
Nepal,1.0,474.0,0.0021,8.66
Venezuela,1.0,420.0,0.0024,15.17
Cambodia,1.0,417.0,0.0024,8.53
Slovakia,1.0,342.0,0.0029,8.14
Oman,1.0,252.0,0.004,10.6
Syria,1.0,234.0,0.0043,18.04
Kuwait,1.0,232.0,0.0043,7.73
Azerbaijan,1.0,228.0,0.0044,11.37
Albania,1.0,226.0,0.0044,9.58
Ethiopia,1.0,194.0,0.0052,11.37
Bosnia & Herzegovina,1.0,180.0,0.005600000000000001,8.86
Mongolia,1.0,137.0,0.0073,9.34
Luxembourg,1.0,121.0,0.0083,12.31
Senegal,1.0,105.0,0.0095,10.84
Zambia,1.0,104.0,0.0096,6.34
Maldives,1.0,84.0,0.011899999999999999,5.76
Côte d’Ivoire,1.0,62.0,0.0161,12.94
Montenegro,1.0,57.0,0.0175,9.68
Sudan,1.0,55.0,0.0182,8.82
Guam,1.0,39.0,0.0256,6.67
Benin,1.0,21.0,0.047599999999999996,7.43
St. Lucia,1.0,20.0,0.05,6.75
Burkina Faso,1.0,16.0,0.0625,11.25
Guadeloupe,1.0,8.0,0.125,6.38
Réunion,1.0,8.0,0.125,20.62
British Virgin Islands,1.0,7.0,0.1429,3.29
Algeria,0.0,918.0,0.0,12.63
Iraq,0.0,623.0,0.0,13.33
Kazakhstan,0.0,277.0,0.0,10.81
Belarus,0.0,213.0,0.0,10.54
Uzbekistan,0.0,188.0,0.0,11.02
Myanmar (Burma),0.0,175.0,0.0,7.77
Paraguay,0.0,166.0,0.0,13.05
Uruguay,0.0,157.0,0.0,14.04
Macedonia,0.0,154.0,0.0,7.97
Armenia,0.0,152.0,0.0,9.36
Palestine,0.0,144.0,0.0,10.71
Guatemala,0.0,144.0,0.0,11.19
Iceland,0.0,139.0,0.0,10.88
Bolivia,0.0,103.0,0.0,13.36
Unknown Region,0.0,96.0,0.0,10.54
Brunei,0.0,87.0,0.0,7.38
Kosovo,0.0,77.0,0.0,7.39
Libya,0.0,77.0,0.0,10.61
Mauritius,0.0,71.0,0.0,7.06
Cuba,0.0,69.0,0.0,10.77
Laos,0.0,66.0,0.0,9.59
Yemen,0.0,63.0,0.0,8.6
Kyrgyzstan,0.0,62.0,0.0,10.61
Namibia,0.0,61.0,0.0,6.57
Angola,0.0,59.0,0.0,14.83
Afghanistan,0.0,57.0,0.0,9.79
Cameroon,0.0,57.0,0.0,9.81
