Top queries,Clicks,Impressions,CTR,Position
tube packaging,228.0,19443.0,0.011699999999999999,7.55
paper tube packaging,125.0,9774.0,0.0128,10.68
cardboard tubes,123.0,6331.0,0.0194,11.27
mailing tubes,104.0,4200.0,0.0248,14.27
shipping tubes,103.0,2515.0,0.040999999999999995,14.9
the tube packaging,100.0,198.0,0.5051,1.2
cardboard tube packaging,70.0,12348.0,0.005699999999999999,9.46
paper tubes,69.0,4803.0,0.0144,14.14
poster shipping tubes,46.0,1466.0,0.031400000000000004,25.6
poster tubes,41.0,2369.0,0.0173,21.78
poster mailing tubes,40.0,3077.0,0.013000000000000001,13.24
custom tube packaging,39.0,4235.0,0.0092,16.76
cardboard tube,38.0,2023.0,0.018799999999999997,12.0
mailing tubes for posters,38.0,972.0,0.0391,9.68
paper tube,37.0,2566.0,0.0144,20.02
poster tube,35.0,1475.0,0.023700000000000002,37.36
shipping tubes for posters,31.0,525.0,0.059000000000000004,10.04
cardboard tubes for shipping,30.0,748.0,0.0401,12.99
poster tubes for shipping,30.0,509.0,0.058899999999999994,21.65
cardboard shipping tubes,28.0,608.0,0.0461,19.39
large cardboard tubes,25.0,4681.0,0.0053,16.81
shipping tube,24.0,2263.0,0.0106,11.39
mailing tube,23.0,800.0,0.0288,17.29
square cardboard tubes,23.0,560.0,0.041100000000000005,4.12
custom paper tubes,22.0,2810.0,0.0078000000000000005,12.54
cheap mailing tubes,20.0,462.0,0.0433,18.39
poster tube for shipping,19.0,490.0,0.0388,21.13
cardboard mailing tubes,17.0,217.0,0.0783,21.24
kraft tube packaging,16.0,1511.0,0.0106,9.94
heavy duty cardboard tubes,16.0,1213.0,0.0132,21.78
kraft tubes,16.0,717.0,0.0223,25.25
candle tube packaging,15.0,2316.0,0.006500000000000001,11.94
custom paper tube packaging,15.0,2144.0,0.006999999999999999,12.85
luxury tube packaging,14.0,1510.0,0.009300000000000001,6.76
cardboard tubes for crafts,14.0,1162.0,0.012,10.43
cheap poster tubes,14.0,112.0,0.125,17.89
paper tubes packaging,13.0,2387.0,0.0054,14.12
kraft paper tubes,13.0,1023.0,0.0127,12.4
wrapping paper tubes,12.0,1551.0,0.0077,3.37
empty lip gloss tubes,12.0,293.0,0.040999999999999995,20.83
mailing tubes bulk,12.0,209.0,0.0574,28.13
cosmetic tubes,11.0,3076.0,0.0036,17.65
packaging tubes,11.0,2245.0,0.0049,22.44
industrial cardboard tubes,11.0,2023.0,0.0054,18.84
kraft mailing tubes,11.0,1271.0,0.0087,20.68
tube packing,11.0,1121.0,0.0098,11.4
kraft paper tube packaging,11.0,1060.0,0.0104,10.77
paper towel tubes,11.0,818.0,0.0134,4.99
tube mailers,11.0,329.0,0.0334,18.29
cardboard cylinder packaging,10.0,2498.0,0.004,15.66
paper tube packaging for food,10.0,1835.0,0.0054,15.04
cardboard cylinders,10.0,1342.0,0.0075,6.12
square paper tube,10.0,295.0,0.0339,3.09
cosmetic tube packaging,9.0,2128.0,0.0042,10.86
cardboard tubes for packaging,9.0,1824.0,0.0049,14.99
lotion tubes,9.0,1530.0,0.0059,8.66
round paper tube packaging,9.0,833.0,0.0108,9.92
lotion tubes wholesale,9.0,209.0,0.0431,20.09
square cardboard tube,9.0,191.0,0.0471,2.98
large cardboard tube,8.0,785.0,0.0102,20.33
cardboard tubing,8.0,718.0,0.0111,13.12
small cardboard tubes,8.0,567.0,0.0141,13.53
round shipping tubes,8.0,129.0,0.062,16.82
usps poster tube,8.0,23.0,0.3478,7.65
cylinder tube packaging,7.0,1543.0,0.0045000000000000005,12.91
bulk mailing tubes,7.0,1450.0,0.0048,30.11
custom shipping tubes,7.0,1360.0,0.0051,14.88
custom mailing tubes,7.0,809.0,0.0087,39.39
thick cardboard tubes for crafts,7.0,702.0,0.01,9.02
tea tubes,7.0,447.0,0.015700000000000002,19.47
bulk poster tubes,7.0,349.0,0.020099999999999996,23.48
small paper tubes,7.0,276.0,0.0254,7.52
lipstick tubes,7.0,272.0,0.025699999999999997,17.95
cheap shipping tubes,7.0,245.0,0.0286,21.51
cardboard mailing tube,7.0,235.0,0.0298,27.83
poster mailer tubes,7.0,124.0,0.0565,7.39
packaging tube,6.0,1615.0,0.0037,14.9
large cardboard tubes free,6.0,1436.0,0.0042,7.69
carton tube packaging,6.0,1242.0,0.0048,11.53
tube boxes,6.0,1209.0,0.005,20.04
cosmetic tube suppliers,6.0,890.0,0.0067,34.36
paperboard tubes,6.0,870.0,0.0069,18.01
thick cardboard tubes,6.0,527.0,0.011399999999999999,11.89
poster shipping tube,6.0,378.0,0.0159,31.2
cardboard shipping tube,6.0,159.0,0.0377,18.39
black paper tube packaging,6.0,134.0,0.044800000000000006,9.55
empty lotion tubes wholesale,6.0,100.0,0.06,11.8
usps shipping tubes,6.0,91.0,0.0659,7.82
